Mobygames;http://www.mobygames.com;127;Supervision;SV;supervision
Mobygames;http://www.mobygames.com;128;Symbian;SYMB;symbian
Mobygames;http://www.mobygames.com;129;TI-99/4A;TI;ti-994a
Mobygames;http://www.mobygames.com;130;TRS-80;T80;trs-80
Mobygames;http://www.mobygames.com;131;TRS-80 CoCo;COCO;trs-80-coco
Mobygames;http://www.mobygames.com;132;Tatung Einstein;EINS;tatung-einstein
Mobygames;http://www.mobygames.com;133;Thomson MO;TMO;thomson-mo
Mobygames;http://www.mobygames.com;134;Thomson TO;TTO;thomson-to
Mobygames;http://www.mobygames.com;135;Tomy Tutor;TUTO;tomy-tutor
Mobygames;http://www.mobygames.com;136;TurboGrafx CD;TCD;turbografx-cd
Mobygames;http://www.mobygames.com;137;TurboGrafx-16;TG16;turbo-grafx
Mobygames;http://www.mobygames.com;138;V.Smile;VSMI;vsmile
Mobygames;http://www.mobygames.com;139;VIC-20;VC20;vic-20
Mobygames;http://www.mobygames.com;140;VIS;VIS;vis
Mobygames;http://www.mobygames.com;141;Vectrex;VECX;vectrex
Mobygames;http://www.mobygames.com;142;Videopac+ G7400;VPAC;videopac-g7400
Mobygames;http://www.mobygames.com;143;Virtual Boy;VBOY;virtual-boy
Mobygames;http://www.mobygames.com;144;Wii;WII;wii
Mobygames;http://www.mobygames.com;145;Wii U;WIIU;wii-u
Mobygames;http://www.mobygames.com;146;Windows;WIN;windows
Mobygames;http://www.mobygames.com;147;Windows 3.x;WIN3;win3x
Mobygames;http://www.mobygames.com;148;Windows Apps;WINA;windows-apps
Mobygames;http://www.mobygames.com;149;Windows Mobile;WINM;windowsmobile
Mobygames;http://www.mobygames.com;150;Windows Phone;WINP;windows-phone
Mobygames;http://www.mobygames.com;151;WonderSwan;WS;wonderswan
Mobygames;http://www.mobygames.com;152;WonderSwan Color;WSC;wonderswan-color
Mobygames;http://www.mobygames.com;153;Xbox;XBOX;xbox
Mobygames;http://www.mobygames.com;154;Xbox 360;X360;xbox360
Mobygames;http://www.mobygames.com;155;Xbox One;XONE;xbox-one
Mobygames;http://www.mobygames.com;156;ZX Spectrum;ZX;zx-spectrum
Mobygames;http://www.mobygames.com;157;ZX80;ZX80;zx80
Mobygames;http://www.mobygames.com;158;ZX81;ZX81;zx81
Mobygames;http://www.mobygames.com;159;Zeebo;ZB;zeebo
Mobygames;http://www.mobygames.com;160;Zodiac;ZOD;zodiac
Mobygames;http://www.mobygames.com;161;bada;BADA;bada
Mobygames;http://www.mobygames.com;162;iPad;IPAD;ipad
Mobygames;http://www.mobygames.com;163;iPhone;IOS;iphone
Mobygames;http://www.mobygames.com;164;iPod Classic;IPOD;ipod-classic
Mobygames;http://www.mobygames.com;165;webOS;WOS;webos
