Asia,AS,Region
Australia,AU,Region
Brazil,SA,Region
Canada,US,Region
China,AS,Region
Denmark,EU,Region
Europe,EU,Region
France,EU,Region
Germany,EU,Region
Greece,EU,Region
Hong Kong,AS,Region
Italy,EU,Region
Japan,JP,Region
Korea,KO,Region
Netherlands,EU,Region
Norway,EU,Region
Russia,EU,Region
Spain,EU,Region
Sweden,EU,Region
Taiwan,AS,Region
USA,US,Region
World,US,Region
Action > Arcade,Action,Genre
Action > Beat-'Em-Up > 2D,Action,Genre
Action > Beat-'Em-Up > 3D,Action,Genre
Action > Fighting > 2D,Fighting,Genre
Action > Fighting > 3D,Fighting,Genre
Action > General,Action,Genre
Action > Pinball,Action,Genre
Action > Platformer > 2D,Platform,Genre
Action > Platformer > 3D,Platform,Genre
Action > Rhythm > Dancing,Music,Genre
Action > Rhythm > Music,Music,Genre
Action > Shooter > First-Person > Arcade,Shooter,Genre
Action > Shooter > First-Person > Tactical,Shooter,Genre
Action > Shooter > Light Gun,Shooter,Genre
Action > Shooter > Rail,Shooter,Genre
Action > Shooter > Shoot-'Em-Up > Horizontal,Shooter,Genre
Action > Shooter > Shoot-'Em-Up > Top-Down,Shooter,Genre
Action > Shooter > Shoot-'Em-Up > Vertical,Shooter,Genre
Action > Shooter > Third-Person > Arcade,Shooter,Genre
Action > Shooter > Third-Person > Tactical,Shooter,Genre
Action Adventure > General,Adventure,Genre
Action Adventure > Linear,Adventure,Genre
Action Adventure > Open-World,Adventure,Genre
Action Adventure > Sandbox,Adventure,Genre
Action Adventure > Survival,Adventure,Genre
Adventure > 3D > First-Person,Adventure,Genre
Adventure > 3D > Third-Person,Adventure,Genre
Adventure > General,Adventure,Genre
Adventure > Point-and-Click,Adventure,Genre
Adventure > Text,Adventure,Genre
Adventure > Visual Novel,Adventure,Genre
Hardware > Console,Hardware,Genre
Hardware > General,Hardware,Genre
Miscellaneous > Application,Miscellaneous,Genre
Miscellaneous > Board / Card Game,Miscellaneous,Genre
Miscellaneous > Compilation,Miscellaneous,Genre
Miscellaneous > Demo Disc,Miscellaneous,Genre
Miscellaneous > Edutainment,Educational,Genre
Miscellaneous > Exercise / Fitness,Miscellaneous,Genre
Miscellaneous > Gambling,Miscellaneous,Genre
Miscellaneous > General,Miscellaneous,Genre
Miscellaneous > Party / Minigame,Miscellaneous,Genre
Miscellaneous > Trivia / Game Show,Miscellaneous,Genre
Puzzle > Action,Puzzle,Genre
Puzzle > General,Puzzle,Genre
Puzzle > Hidden Object,Puzzle,Genre
Puzzle > Logic,Puzzle,Genre
Puzzle > Matching,Puzzle,Genre
Puzzle > Stacking,Puzzle,Genre
Racing > Arcade > Automobile,Racing / Driving,Genre
Racing > Arcade > Futuristic,Racing / Driving,Genre
Racing > Arcade > Other,Racing / Driving,Genre
Racing > General,Racing / Driving,Genre
Racing > Simulation > Automobile,Racing / Driving,Genre
Role-Playing > Action RPG,RPG,Genre
Role-Playing > General,RPG,Genre
Role-Playing > Japanese-Style,RPG,Genre
Role-Playing > Massively Multiplayer,RPG,Genre
Role-Playing > Roguelike,RPG,Genre
Role-Playing > Trainer,RPG,Genre
Role-Playing > Western-Style,RPG,Genre
Simulation > Flight > Civilian,Simulation,Genre
Simulation > Flight > Combat,Simulation,Genre
Simulation > General,Simulation,Genre
Simulation > Marine > Civilian,Simulation,Genre
Simulation > Marine > Combat,Simulation,Genre
Simulation > Space > Civilian,Simulation,Genre
