softwareId,softwareName,softwareType,systemId
316,Alchemist Marie & Elie - Futari no Atelier,Game,5
317,Another Heaven - Memory of those Days,Game,5
318,Arc the Lad - Kishin Fukkatsu,Game,5
319,Battle Spirit - Digimon Frontier,Game,5
320,Blue Wing Blitz,Game,5
321,Dark Eyes - Battle Gate,Game,5
322,Dicing Knight.,Game,5
323,Digimon - Anode Tamer & Cathode Tamer,Game,5
324,Digimon Adventure 02 - D1 Tamers,Game,5
325,Digimon Tamers - Battle Spirit Ver. 1.5,Game,5
326,Digimon Tamers - Brave Tamer,Game,5
327,Digimon Tamers - Digimon Medley,Game,5
328,Digital Monster - D-Project,Game,5
329,Digital Monster Card Game - Ver. WonderSwan Color,Game,5
330,Dokodemo Hamster 3 - Odekake Saffron,Game,5
331,Dragon Ball,Game,5
332,Final Fantasy,Game,5
333,Final Fantasy II,Game,5
334,Final Fantasy IV,Game,5
335,Final Lap Special - GT & Formula Machine,Game,5
336,Flash Koibito-kun,Game,5
337,From TV Animation One Piece - Chopper no Daibouken,Game,5
338,From TV Animation One Piece - Grand Battle Swan Colosseum,Game,5
339,From TV Animation One Piece - Niji no Shima Densetsu,Game,5
340,From TV Animation One Piece - Treasure Wars,Game,5
341,From TV Animation One Piece - Treasure Wars 2 - Buggy Land e Youkoso,Game,5
342,Front Mission,Game,5
343,Gekitou! Crash Gear Turbo - Gear Champion League,Game,5
344,Gensou Maden Saiyuuki Retribution - Hi no Ataru Basho de,Game,5
345,Golden Axe,Game,5
346,Gransta Chronicle,Game,5
347,Guilty Gear Petit,Game,5
348,Guilty Gear Petit 2,Game,5
349,GunPey EX,Game,5
350,"Hanjuku Hero - Ah, Sekai yo Hanjuku Nare...!!",Game,5
351,Hataraku Chocobo,Game,5
352,Hunter X Hunter - Greed Island,Game,5
353,Hunter X Hunter - Michibikareshi Mono,Game,5
354,Hunter X Hunter - Sorezore no Ketsui,Game,5
355,Inuyasha - Fuuun Emaki,Game,5
356,Inuyasha - Kagome no Sengoku Nikki,Game,5
357,Inuyasha - Kagome no Yume Nikki,Game,5
358,Judgement Silversword - Rebirth Edition,Game,5
359,Kidou Senshi Gundam - Giren no Yabou - Tokubetsu Hen - Aoki Hoshi no Hasha,Game,5
360,Kidou Senshi Gundam Seed,Game,5
361,Kidou Senshi Gundam Vol. 1 - Side 7,Game,5
362,Kidou Senshi Gundam Vol. 2 - Jaburo,Game,5
363,Kidou Senshi Gundam Vol. 3 - A Baoa Qu,Game,5
364,Kinnikuman II-Sei - Choujin Seisenshi,Game,5
365,Kinnikuman II-Sei - Dream Tag Match,Game,5
366,Kurupara!,Game,5
367,Last Alive,Game,5
368,Makai Toushi Sa-Ga,Game,5
369,Meitantei Conan - Yuugure no Koujo,Game,5
370,Memories Off - Festa,Game,5
371,Mikeneko Holmes - Ghost Panic,Game,5
372,Mr. Driller,Game,5
373,Namco Super Wars,Game,5
374,Naruto - Konoha Ninpouchou,Game,5
375,Pocket no Naka no Doraemon,Game,5
376,Raku Jongg,Game,5
377,Rhyme Rider Kerorican,Game,5
378,Riviera - Yakusoku no Chi Riviera,Game,5
379,Rockman EXE - N1 Battle,Game,5
380,Rockman EXE WS,Game,5
381,Romancing Sa-Ga,Game,5
382,RUN=DIM - Return to Earth,Game,5
383,Saint Seiya - Ougon Densetsu Hen - Perfect Edition,Game,5
384,SD Gundam - Operation U.C.,Game,5
385,SD Gundam Eiyuu Den - Kishi Densetsu,Game,5
386,SD Gundam Eiyuu Den - Musha Densetsu,Game,5
387,SD Gundam G Generation - Gather Beat 2,Game,5
388,SD Gundam G Generation - Mono-Eye Gundams,Game,5
389,Senkaiden Ni - TV Animation Senkaiden Houshin Engi Yori,Game,5
390,Shaman King - Asu e no Ishi,Game,5
391,Sorobang,Game,5
392,Star Hearts - Hoshi to Daichi no Shisha,Game,5
393,Star Hearts - Hoshi to Daichi no Shisha - Taikenban,Game,5
394,Super Robot Taisen Compact 3,Game,5
395,Super Robot Taisen Compact for WonderSwan Color,Game,5
396,Terrors 2,Game,5
397,Tetris,Game,5
398,Tonpuusou,Game,5
399,Uchuu Senkan Yamato,Game,5
400,Ultraman - Hikari no Kuni no Shisha,Game,5
401,Wild Card,Game,5
402,With You - Mitsumete Itai,Game,5
403,Wizardry Scenario 1 - Proving Grounds of the Mad Overlord,Game,5
404,Wonder Classic,Game,5
405,X - Card of Fate,Game,5
406,XI Little,Game,5
407,Anchorz Field,Game,6
408,Armored Unit,Game,6
409,Bakusou Dekotora Densetsu for WonderSwan,Game,6
410,Beatmania for WonderSwan,Game,6
411,Buffers Evolution,Game,6
412,Cardcaptor Sakura - Sakura to Fushigi na Clow Card,Game,6
413,Chaos Gear - Michibikareshi Mono,Game,6
414,Chocobo no Fushigi na Dungeon for WonderSwan,Game,6
415,Chou Aniki - Otoko no Tamafuda,Game,6
416,Chou Denki Card Battle - Youfu Makai,Game,6
417,Clock Tower for WonderSwan,Game,6
418,Crazy Climber,Game,6
419,D's Garage 21 Koubo Game - Tane o Maku Tori,Game,6
420,Densha de Go!,Game,6
421,Densha de Go! 2,Game,6
422,Digimon Adventure - Anode Tamer,Game,6
423,Digimon Adventure - Cathode Tamer,Game,6
424,Digimon Adventure 02 - Tag Tamers,Game,6
425,Digital Monster - Ver. WonderSwan,Game,6
426,Digital Partner,Game,6
427,Dokodemo Hamster,Game,6
428,Engacho! for WonderSwan,Game,6
429,Fever - Sankyo Koushiki Pachinko Simulation for WonderSwan,Game,6
430,Final Lap 2000,Game,6
431,Fire Pro Wrestling for WonderSwan,Game,6
432,Fishing Freaks - Bass Rise for WonderSwan,Game,6
433,From TV Animation One Piece - Mezase Kaizoku Ou!,Game,6
434,Ganso Jajamaru-kun,Game,6
435,Glocal Hexcite,Game,6
436,Gomoku Narabe & Reversi - Touryuumon,Game,6
437,Goraku Ou Tango!,Game,6
438,GunPey,Game,6
439,Hanafuda Shiyouyo,Game,6
440,Harobots,Game,6
441,Hunter X Hunter - Ishi o Tsugu Mono,Game,6
442,Itou Junji Uzumaki - Noroi Simulation,Game,6
443,Kakutou Ryouri Densetsu Bistro Recipe - Wonder Battle Hen,Game,6
444,Kaze no Klonoa - Moonlight Museum,Game,6
445,Keiba Yosou Shien Soft - Yosou Shinkaron,Game,6
446,Kiss Yori... - Seaside Serenade,Game,6
447,Kosodate Quiz Dokodemo - My Angel,Game,6
448,Kyousouba Ikusei Simulation - Keiba,Game,6
449,Langrisser Millennium WS - The Last Century,Game,6
450,Last Stand,Game,6
451,Lode Runner for WonderSwan,Game,6
452,Macross - True Love Song,Game,6
453,Magical Drop for WonderSwan,Game,6
454,Mahjong Touryuumon,Game,6
455,Makai Mura for WonderSwan,Game,6
456,Medarot Perfect Edition - Kabuto Version,Game,6
457,Medarot Perfect Edition - Kuwagata Version,Game,6
458,Meitantei Conan - Majutsushi no Chousenjou!,Game,6
459,Meitantei Conan - Nishi no Meitantei Saidai no Kiki!,Game,6
460,Metakomi Theraphy - Nee Kiite!,Game,6
461,Mingle Magnet,Game,6
462,Mobile Suit Gundam MSVS,Game,6
463,MobileWonderGate,Game,6
464,Moero!! Pro Yakyuu Rookies,Game,6
465,Morita Shougi for WonderSwan,Game,6
466,Nazo Ou Pocket,Game,6
467,Neon Genesis Evangelion - Shito Ikusei,Game,6
468,Nice On,Game,6
469,Nihon Pro Mahjong Renmei Kounin - Tetsuman,Game,6
470,Nobunaga no Yabou for WonderSwan,Game,6
471,Ou-chan no Oekaki Logic,Game,6
472,Pocket Fighter,Game,6
473,Pro Mahjong Kiwame for WonderSwan,Game,6
474,Puyo Puyo Tsuu,Game,6
475,Puzzle Bobble,Game,6
476,Rainbow Islands - Putty's Party,Game,6
477,Ring Infinity,Game,6
478,Robot Works,Game,6
479,Rockman & Forte - Mirai Kara no Chousensha,Game,6
480,Sangokushi for WonderSwan,Game,6
481,Sangokushi II for WonderSwan,Game,6
482,SD Gundam - Emotional Jam,Game,6
483,SD Gundam G Generation - Gather Beat,Game,6
484,SD Gundam Gashapon Senki - Episode 1,Game,6
485,Senkaiden - TV Animation Senkaiden Houshin Engi Yori,Game,6
486,Sennou Millennium,Game,6
487,Shanghai Pocket,Game,6
488,Shin Nihon Pro Wrestling - Toukon Retsuden,Game,6
489,Shougi Touryuumon,Game,6
490,Side Pocket for WonderSwan,Game,6
491,Slither Link,Game,6
492,Soccer Yarou! - Challenge the World,Game,6
493,Sotsugyou for WonderSwan,Game,6
494,Space Invaders,Game,6
495,Super Robot Taisen Compact,Game,6
496,Super Robot Taisen Compact 2 - Dai-1-bu - Chijou Gekidou Hen,Game,6
497,Super Robot Taisen Compact 2 - Dai-2-bu - Uchuu Gekishin Hen,Game,6
498,Super Robot Taisen Compact 2 - Dai-3-bu - Ginga Kessen Hen,Game,6
499,Taikyoku Igo - Heisei Kiin,Game,6
500,Tanjou Debut for WonderSwan,Game,6
501,Tare Panda no GunPey,Game,6
502,Tekken Card Challenge,Game,6
503,Terrors,Game,6
504,Tetsujin 28 Gou,Game,6
505,Time Bokan Series - Bokan Densetsu - Butamo Odaterya Doronbou,Game,6
506,Tokyo Majin Gakuen - Fuju Houroku,Game,6
507,Trump Collection - Bottom-Up Teki Trump Seikatsu,Game,6
508,Trump Collection 2 - Bottom-Up Teki Sekaiisshuu no Tabi,Game,6
509,Turntablist - DJ Battle,Game,6
510,Umizuri ni Ikou!,Game,6
511,Uzumaki - Denshi Kaiki Hen,Game,6
512,Vaitz Blade,Game,6
513,Wasabi Produce - Street Dancer,Game,6
